Titulo balance electrico 2019 2021
Sistema electrico NACIONAL
Magnitudes GWh
 
                            2019                 2020                  2021

Hidraulica:               24719,015----------30631,723------------29626,009
Eolica:                   54245,055----------54906,246------------60525,656
Solar fotovoltaica:       9252,018-----------15302,144------------20981,043
Solar termica:            5166,431-----------4538,31--------------4705,524
Hidroeolica:              23,248-------------19,54----------------23,098
Otras renovables:         3617,715-----------4481,581-------------4719,873
Residuos renovables:      889,813------------725,652--------------877,940
Generacion renovable:     97913,298----------110605,198-----------121459,146
Turbinacion bombeo:       1645,505-----------2751,447-------------2649,324
Nuclear:                  55824,226----------55758,359------------54041,019
Ciclo combinado:          55241,97-----------44022,855------------44500,099
Carbon:                   12670,637----------5020,712-------------4983,143
Motores diesel:           2836,053-----------2399,492-------------2517,424
Turbina de gas:           670,532------------406,582--------------423,579
Turbina de vapor:         2189,01------------1387,607-------------1108,055
Fuel + Gas:               (-0,000001)--------ND-------------------(-0,000001)
Cogeneracion:             29615,139----------27030,313------------26090,646
Residuos no renovables:   2222,463-----------2016,187-------------2238,741
Generacion no renovable:  162915,537---------140793,551-----------138552,039
Consumos en bombeo:       (-3027,31)---------(-4627,715)----------(-4317,786)
Exportacion,"-3116,290037","-8099,031121","-434,93118","-208,26219","-6192,458406000001","-7553,564757","-706,6107","-196,14560999999998","-6280,765213000001","-9543,490542","-509,39259999999996","-225,13509","-3116,290037","-3116,290037","-3116,290037","-3116,290037","-3116,290037","-8099,031121","-434,93118","-208,26219","-6192,458406000001","-6192,458406000001","-6192,458406000001","-6192,458406000001","-6192,458406000001","-7553,564757","-706,6107","-196,14560999999998","-6280,765213000001","-6280,765213000001","-6280,765213000001","-6280,765213000001","-6280,765213000001","-9543,490542","-509,39259999999996","-225,13509"
Exportacion,"-3116,290037","-8099,031121","-434,93118","-208,26219","-6192,458406000001","-7553,564757","-706,6107","-196,14560999999998","-6280,765213000001","-9543,490542","-509,39259999999996","-225,13509","-3116,290037","-3116,290037","-3116,290037","-3116,290037","-3116,290037","-8099,031121","-434,93118","-208,26219","-6192,458406000001","-6192,458406000001","-6192,458406000001","-6192,458406000001","-6192,458406000001","-7553,564757","-706,6107","-196,14560999999998","-6280,765213000001","-6280,765213000001","-6280,765213000001","-6280,765213000001","-6280,765213000001","-9543,490542","-509,39259999999996","-225,13509"
Exportacion,"-3116,290037","-8099,031121","-434,93118","-208,26219","-6192,458406000001","-7553,564757","-706,6107","-196,14560999999998","-6280,765213000001","-9543,490542","-509,39259999999996","-225,13509","-3116,290037","-3116,290037","-3116,290037","-3116,290037","-3116,290037","-8099,031121","-434,93118","-208,26219","-6192,458406000001","-6192,458406000001","-6192,458406000001","-6192,458406000001","-6192,458406000001","-7553,564757","-706,6107","-196,14560999999998","-6280,765213000001","-6280,765213000001","-6280,765213000001","-6280,765213000001","-6280,765213000001","-9543,490542","-509,39259999999996","-225,13509"
Exportacion,"-3116,290037","-8099,031121","-434,93118","-208,26219","-6192,458406000001","-7553,564757","-706,6107","-196,14560999999998","-6280,765213000001","-9543,490542","-509,39259999999996","-225,13509","-3116,290037","-3116,290037","-3116,290037","-3116,290037","-3116,290037","-8099,031121","-434,93118","-208,26219","-6192,458406000001","-6192,458406000001","-6192,458406000001","-6192,458406000001","-6192,458406000001","-7553,564757","-706,6107","-196,14560999999998","-6280,765213000001","-6280,765213000001","-6280,765213000001","-6280,765213000001","-6280,765213000001","-9543,490542","-509,39259999999996","-225,13509"
Saldo I. internacionales,"6862,325049","3279,584887","852,4399109999999","6862,325049","6862,325049","3279,584887","3279,584887","852,4399109999999","852,4399109999999",,,,,,,,,,,,,,,,,,,,,,,,,,,
Demanda en b.c.,"264663,8510019993","250050,6196130003","256545,8387850005","264663,8510019993","264663,8510019993","250050,6196130003","250050,6196130003","256545,8387850005","256545,8387850005",,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Balance electrico: asignacion de unidades de produccion segun combustible principal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,"Otras renovables: incluye biogas, biomasa, hidraulica marina y geotermica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Los valores de incrementos y ano movil incluyen residuos hasta el 31/12/2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Residuos renovables : generacion incluida en otras renovables y cogeneracion hasta el 31/12/2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Turbinaci�n de bombeo puro + estimacion de turbinacion de bombeo mixto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Ciclo combinado: Incluye funcionamiento en ciclo abierto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Fuel + Gas: En el sistema electrico nacional se incluye la generacion con grupos auxiliares de Baleares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Cogeneraci�n: los valores de incrementos y ano movil incluyen residuos hasta el 31/12/2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Residuos no renovables: generacion incluida en otras renovables y cogeneracion hasta el 31/12/2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
