24719.01,30631.726,29626.009,17863.039,9814.216
54245.05,54906.246,60525.656,61175.592,23037.700
9252.018,15302.144,20981.043,27864.341,10901.839
5166.431,4538.310,4705.524,4123.275,1286.824
23.248,19.540,23.098,22.88,5.507
3617.715,4481.581,4719.873,4656.293,1189.465
889.813,725.652,877.94,877.707,264.649
97913.298,110605.198,121459.146,116583.131,45600.203
1645.505,2751.44,2649.324,3775.566,1725.471
55824.226,55758.359,54041.019,55983.500,19846.322
55241.97,44022.855,44500.099,68137.547,12411.520
12670.637,5020.712,4983.148,7765.205,1367.390
2836.053,2399.492,2517.424,2548.203,723.912
670.532,406.582,423.579,657.472,207.570
2189.01,1387.607,1108.055,1207.234,415.302
29615.139,27030.313,26090.646,17757.670,5971.351
2222.463,2016.187,2238.741,1899.766,418.303829
162915.537,140793.551,138552.039,159732.166,42080.983
-3027.31,-4627.715,-4317.786,-6092.445,-3149.304

